"Unique identification number of the institution","Level of student","Level of student (original line number on survey form)","Attendance status of student","Level of student","Nonresident alien men","Nonresident alien women","OLD - Black non-Hispanic men","OLD - Black non-Hispanic women","OLD - American Indian or Alaska Native men","OLD - American Indian or Alaska Native women","OLD - Asian or Pacific Islander men","OLD - Asian or Pacific Islander women","OLD - Hispanic men","OLD - Hispanic women","OLD - White non-Hispanic men","OLD - White non-Hispanic women","Race/ethnicity unknown men","Race/ethnicity unknown women","Grand total men","Grand total women","Nonresident alien total","OLD - Black non-Hispanic total","OLD - American Indian or Alaska Native total","OLD - Asian or Pacific Islander total","OLD - Hispanic total","OLD - White non-Hispanic total","Race/ethnicity unknown total","Grand total","Hispanic men","Hispanic women","American Indian or Alaska Native men","American Indian or Alaska Native women","Asian men","Asian women","Black or African American men","Black or African American women","Native Hawaiian or Other Pacific Islander men","Native Hawaiian or Other Pacific Islander women","White men","White women","Two or more races men","Two or more races women","Hispanic total","American Indian or Alaska Native total","Asian total","Black or African American total","Native Hawaiian or Other Pacific Islander total","White total","Two or more races total","DERIVED - American Indian or Alaska Native total","DERIVED - American Indian or Alaska Native men","DERIVED - American Indian or Alaska Native women","DERIVED - Asian/Native Hawaiian/Other Pacific Islander total","DERIVED - Asian/Native Hawaiian/Other Pacific Islander men","DERIVED - Asian/Native Hawaiian/Other Pacific Islander women","DERIVED - Black or African American/Black non-Hispanic total","DERIVED - Black or African American/Black non-Hispanic men","DERIVED - Black or African American/Black non-Hispanic women","DERIVED - Hispanic or Latino/Hispanic total","DERIVED - Hispanic or Latino/Hispanic men","DERIVED - Hispanic or Latino/Hispanic women","DERIVED - White/White non-Hispanic total","DERIVED - White/White non-Hispanic men","DERIVED - White/White non-Hispanic women","FY","Fall","Institution_Name","EFALevel_desc","Line_desc","Section_desc","LStudy_desc"
"110404","1","29","3","4"," 379"," 147"," 19","   8","  1","  2"," 310"," 189"," 69"," 24"," 651"," 294","  23","  10"," 1452","  674"," 526","  27","  3"," 499","  93","  945","  33"," 2126",,,,,,,,,,,,,,,,,,,,,,"  3","  1","  2"," 499"," 310"," 189","  27"," 19","   8","  93"," 69"," 24","  945"," 651"," 294","2009","2008","Cal Tech","All students total","Total enrollment","All students","All students"
"110404","2","99","3","1","  53","  51","  6","   1","  0","  0"," 228"," 139"," 38"," 13"," 271"," 101","  14","   6","  610","  311"," 104","   7","  0"," 367","  51","  372","  20","  921",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0"," 367"," 228"," 139","   7","  6","   1","  51"," 38"," 13","  372"," 271"," 101","2009","2008","Cal Tech","All students, Undergraduate total","Generated record not on original survey","All students","Undergraduate"
"110404","3","99","3","1","  53","  51","  6","   1","  0","  0"," 228"," 139"," 38"," 13"," 271"," 101","  14","   6","  610","  311"," 104","   7","  0"," 367","  51","  372","  20","  921",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0"," 367"," 228"," 139","   7","  6","   1","  51"," 38"," 13","  372"," 271"," 101","2009","2008","Cal Tech","All students, Undergraduate, Degree/certificate-seeking total","Generated record not on original survey","All students","Undergraduate"
"110404","4","99","3","1","  12","  16","  2","   0","  0","  0","  52","  42"," 10","  3","  58","  33","   5","   3","  139","   97","  28","   2","  0","  94","  13","   91","   8","  236",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0","  94","  52","  42","   2","  2","   0","  13"," 10","  3","   91","  58","  33","2009","2008","Cal Tech","All students, Undergraduate, Degree/certificate-seeking, First-time","Generated record not on original survey","All students","Undergraduate"
"110404","5","99","3","1","  41","  35","  4","   1","  0","  0"," 176","  97"," 28"," 10"," 213","  68","   9","   3","  471","  214","  76","   5","  0"," 273","  38","  281","  12","  685",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0"," 273"," 176","  97","   5","  4","   1","  38"," 28"," 10","  281"," 213","  68","2009","2008","Cal Tech","All students, Undergraduate, Other degree/certificate-seeking","Generated record not on original survey","All students","Undergraduate"
"110404","12","99","3","3"," 326","  96"," 13","   7","  1","  2","  82","  50"," 31"," 11"," 380"," 193","   9","   4","  842","  363"," 422","  20","  3"," 132","  42","  573","  13"," 1205",,,,,,,,,,,,,,,,,,,,,,"  3","  1","  2"," 132","  82","  50","  20"," 13","   7","  42"," 31"," 11","  573"," 380"," 193","2009","2008","Cal Tech","All students, Graduate","Generated record not on original survey","All students","Graduate"
"110404","19","99","3","1","   4","   3","  0","   0","  0","  0","   0","   2","  0","  0","   0","   0","   0","   0","    4","    5","   7","   0","  0","   2","   0","    0","   0","    9",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0","   2","   0","   2","   0","  0","   0","   0","  0","  0","    0","   0","   0","2009","2008","Cal Tech","All students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Generated record not on original survey","All students","Undergraduate"
"110404","20","99","3","1","  37","  32","  4","   1","  0","  0"," 176","  95"," 28"," 10"," 213","  68","   9","   3","  467","  209","  69","   5","  0"," 271","  38","  281","  12","  676",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0"," 271"," 176","  95","   5","  4","   1","  38"," 28"," 10","  281"," 213","  68","2009","2008","Cal Tech","All students, Undergraduate, Other degree/certifcate-seeking, Continuing","Generated record not on original survey","All students","Undergraduate"
"110404","21","14","1","4"," 379"," 147"," 19","   8","  1","  2"," 310"," 189"," 69"," 24"," 651"," 294","  23","  10"," 1452","  674"," 526","  27","  3"," 499","  93","  945","  33"," 2126",,,,,,,,,,,,,,,,,,,,,,"  3","  1","  2"," 499"," 310"," 189","  27"," 19","   8","  93"," 69"," 24","  945"," 651"," 294","2009","2008","Cal Tech","Full-time students total","Total full-time students","Full-time","All students"
"110404","22","8","1","1","  53","  51","  6","   1","  0","  0"," 228"," 139"," 38"," 13"," 271"," 101","  14","   6","  610","  311"," 104","   7","  0"," 367","  51","  372","  20","  921",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0"," 367"," 228"," 139","   7","  6","   1","  51"," 38"," 13","  372"," 271"," 101","2009","2008","Cal Tech","Full-time students, Undergraduate total","Total  full-time undergraduates","Full-time","Undergraduate"
"110404","23","6","1","1","  53","  51","  6","   1","  0","  0"," 228"," 139"," 38"," 13"," 271"," 101","  14","   6","  610","  311"," 104","   7","  0"," 367","  51","  372","  20","  921",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0"," 367"," 228"," 139","   7","  6","   1","  51"," 38"," 13","  372"," 271"," 101","2009","2008","Cal Tech","Full-time students, Undergraduate, Degree/certificate-seeking total","Full-time degree-seeking undergraduates, total","Full-time","Undergraduate"
"110404","24","1","1","1","  12","  16","  2","   0","  0","  0","  52","  42"," 10","  3","  58","  33","   5","   3","  139","   97","  28","   2","  0","  94","  13","   91","   8","  236",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0","  94","  52","  42","   2","  2","   0","  13"," 10","  3","   91","  58","  33","2009","2008","Cal Tech","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","Full-time, first-time, first-year, degree-seeking undergraduates","Full-time","Undergraduate"
"110404","25","99","1","1","  41","  35","  4","   1","  0","  0"," 176","  97"," 28"," 10"," 213","  68","   9","   3","  471","  214","  76","   5","  0"," 273","  38","  281","  12","  685",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0"," 273"," 176","  97","   5","  4","   1","  38"," 28"," 10","  281"," 213","  68","2009","2008","Cal Tech","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Generated record not on original survey","Full-time","Undergraduate"
"110404","32","11","1","3"," 326","  96"," 13","   7","  1","  2","  82","  50"," 31"," 11"," 380"," 193","   9","   4","  842","  363"," 422","  20","  3"," 132","  42","  573","  13"," 1205",,,,,,,,,,,,,,,,,,,,,,"  3","  1","  2"," 132","  82","  50","  20"," 13","   7","  42"," 31"," 11","  573"," 380"," 193","2009","2008","Cal Tech","Full-time students, Graduate","Full-time graduates","Full-time","Graduate"
"110404","39","2","1","1","   4","   3","  0","   0","  0","  0","   0","   2","  0","  0","   0","   0","   0","   0","    4","    5","   7","   0","  0","   2","   0","    0","   0","    9",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0","   2","   0","   2","   0","  0","   0","   0","  0","  0","    0","   0","   0","2009","2008","Cal Tech","Full-time students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Full-time undergraduate, other degree/certifcate-seeking, transfer-ins","Full-time","Undergraduate"
"110404","40","3","1","1","  37","  32","  4","   1","  0","  0"," 176","  95"," 28"," 10"," 213","  68","   9","   3","  467","  209","  69","   5","  0"," 271","  38","  281","  12","  676",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0"," 271"," 176","  95","   5","  4","   1","  38"," 28"," 10","  281"," 213","  68","2009","2008","Cal Tech","Full-time students, Undergraduate, Other degree/certifcate-seeking, Continuing","Full-time  undergraduate, other degree/certifcate-seeking, continuing","Full-time","Undergraduate"
"131496","1","29","3","4"," 890"," 881","359"," 628","  9","  9"," 629"," 765","354","399","4640","4480"," 648"," 627"," 7529"," 7789","1771"," 987"," 18","1394"," 753"," 9120","1275","15318",,,,,,,,,,,,,,,,,,,,,," 18","  9","  9","1394"," 629"," 765"," 987","359"," 628"," 753","354","399"," 9120","4640","4480","2009","2008","Georgetown University","All students total","Total enrollment","All students","All students"
"131496","2","99","3","1"," 272"," 337","192"," 272","  2","  3"," 253"," 372","201","237","2193","2395"," 152"," 211"," 3265"," 3827"," 609"," 464","  5"," 625"," 438"," 4588"," 363"," 7092",,,,,,,,,,,,,,,,,,,,,,"  5","  2","  3"," 625"," 253"," 372"," 464","192"," 272"," 438","201","237"," 4588","2193","2395","2009","2008","Georgetown University","All students, Undergraduate total","Generated record not on original survey","All students","Undergraduate"
"131496","3","99","3","1"," 198"," 243","191"," 269","  2","  3"," 251"," 369","200","233","2181","2386"," 111"," 155"," 3134"," 3658"," 441"," 460","  5"," 620"," 433"," 4567"," 266"," 6792",,,,,,,,,,,,,,,,,,,,,,"  5","  2","  3"," 620"," 251"," 369"," 460","191"," 269"," 433","200","233"," 4567","2181","2386","2009","2008","Georgetown University","All students, Undergraduate, Degree/certificate-seeking total","Generated record not on original survey","All students","Undergraduate"
"131496","4","99","3","1","  53","  51"," 36","  59","  0","  0","  62","  86"," 42"," 39"," 538"," 561","  18","  26","  749","  822"," 104","  95","  0"," 148","  81"," 1099","  44"," 1571",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0"," 148","  62","  86","  95"," 36","  59","  81"," 42"," 39"," 1099"," 538"," 561","2009","2008","Georgetown University","All students, Undergraduate, Degree/certificate-seeking, First-time","Generated record not on original survey","All students","Undergraduate"
"131496","5","99","3","1"," 145"," 192","155"," 210","  2","  3"," 189"," 283","158","194","1643","1825","  93"," 129"," 2385"," 2836"," 337"," 365","  5"," 472"," 352"," 3468"," 222"," 5221",,,,,,,,,,,,,,,,,,,,,,"  5","  2","  3"," 472"," 189"," 283"," 365","155"," 210"," 352","158","194"," 3468","1643","1825","2009","2008","Georgetown University","All students, Undergraduate, Other degree/certificate-seeking","Generated record not on original survey","All students","Undergraduate"
"131496","11","99","3","1","  74","  94","  1","   3","  0","  0","   2","   3","  1","  4","  12","   9","  41","  56","  131","  169"," 168","   4","  0","   5","   5","   21","  97","  300",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0","   5","   2","   3","   4","  1","   3","   5","  1","  4","   21","  12","   9","2009","2008","Georgetown University","All students, Undergraduate, Non-degree/certificate-seeking","Generated record not on original survey","All students","Undergraduate"
"131496","12","99","3","3"," 556"," 492"," 86"," 187","  1","  4"," 216"," 222"," 85","100","1390","1339"," 363"," 289"," 2697"," 2633","1048"," 273","  5"," 438"," 185"," 2729"," 652"," 5330",,,,,,,,,,,,,,,,,,,,,,"  5","  1","  4"," 438"," 216"," 222"," 273"," 86"," 187"," 185"," 85","100"," 2729","1390","1339","2009","2008","Georgetown University","All students, Graduate","Generated record not on original survey","All students","Graduate"
"131496","16","99","3","2","  62","  52"," 81"," 169","  6","  2"," 160"," 171"," 68"," 62","1057"," 746"," 133"," 127"," 1567"," 1329"," 114"," 250","  8"," 331"," 130"," 1803"," 260"," 2896",,,,,,,,,,,,,,,,,,,,,,"  8","  6","  2"," 331"," 160"," 171"," 250"," 81"," 169"," 130"," 68"," 62"," 1803","1057"," 746","2009","2008","Georgetown University","All students, First professional","Generated record not on original survey","All students","First-professional"
"131496","19","99","3","1","   5","   7","  4","  11","  0","  0","  12","  13","  7","  9","  51"," 107","   2","   7","   81","  154","  12","  15","  0","  25","  16","  158","   9","  235",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0","  25","  12","  13","  15","  4","  11","  16","  7","  9","  158","  51"," 107","2009","2008","Georgetown University","All students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Generated record not on original survey","All students","Undergraduate"
"131496","20","99","3","1"," 140"," 185","151"," 199","  2","  3"," 177"," 270","151","185","1592","1718","  91"," 122"," 2304"," 2682"," 325"," 350","  5"," 447"," 336"," 3310"," 213"," 4986",,,,,,,,,,,,,,,,,,,,,,"  5","  2","  3"," 447"," 177"," 270"," 350","151"," 199"," 336","151","185"," 3310","1592","1718","2009","2008","Georgetown University","All students, Undergraduate, Other degree/certifcate-seeking, Continuing","Generated record not on original survey","All students","Undergraduate"
"131496","21","14","1","4"," 796"," 797","302"," 512","  6","  9"," 558"," 681","305","354","4024","3876"," 442"," 410"," 6433"," 6639","1593"," 814"," 15","1239"," 659"," 7900"," 852","13072",,,,,,,,,,,,,,,,,,,,,," 15","  6","  9","1239"," 558"," 681"," 814","302"," 512"," 659","305","354"," 7900","4024","3876","2009","2008","Georgetown University","Full-time students total","Total full-time students","Full-time","All students"
"131496","22","8","1","1"," 272"," 331","182"," 251","  0","  3"," 246"," 363","192","230","2138","2335"," 117"," 146"," 3147"," 3659"," 603"," 433","  3"," 609"," 422"," 4473"," 263"," 6806",,,,,,,,,,,,,,,,,,,,,,"  3","  0","  3"," 609"," 246"," 363"," 433","182"," 251"," 422","192","230"," 4473","2138","2335","2009","2008","Georgetown University","Full-time students, Undergraduate total","Total  full-time undergraduates","Full-time","Undergraduate"
