"Unique identification number of the institution","Faculty and tenure status","All ranks","Professors","Associate professors","Assistant professors","Intructors","Lecturers","No academic rank","FY","Fall","Institution_Name","Survey Code","Survey Title","FACSTAT_desc"
"131496","0","1158"," 392","262"," 147","  0","  0","357","2013","2012","Georgetown University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"131496","10","1158"," 392","262"," 147","  0","  0","357","2013","2012","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"131496","20"," 595"," 365","224","   6","  0","  0","  0","2013","2012","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"131496","30"," 182","  18"," 30"," 134","  0","  0","  0","2013","2012","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"131496","40"," 381","   9","  8","   7","  0","  0","357","2013","2012","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"131496","41"," 224","   9","  8","   7","  0","  0","200","2013","2012","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"131496","42"," 153","   0","  0","   0","  0","  0","153","2013","2012","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"131496","43","   4","   0","  0","   0","  0","  0","  4","2013","2012","Georgetown University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, less-than-annual contract"
"147767","0","2057"," 789","464"," 487"," 37","280","  0","2013","2012","Northwestern University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"147767","10","2057"," 789","464"," 487"," 37","280","  0","2013","2012","Northwestern University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"147767","20"," 958"," 670","288","   0","  0","  0","  0","2013","2012","Northwestern University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"147767","30"," 301","   0"," 32"," 269","  0","  0","  0","2013","2012","Northwestern University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"147767","40"," 798"," 119","144"," 218"," 37","280","  0","2013","2012","Northwestern University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"147767","41"," 774"," 119","144"," 218"," 37","256","  0","2013","2012","Northwestern University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"147767","42","  24","   0","  0","   0","  0"," 24","  0","2013","2012","Northwestern University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"162928","0","3435"," 873","598","1062","214","165","523","2013","2012","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"162928","10","3435"," 873","598","1062","214","165","523","2013","2012","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"162928","20"," 908"," 843"," 65","   0","  0","  0","  0","2013","2012","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"162928","30","1677","   3","501","1019","154","  0","  0","2013","2012","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"162928","40"," 850","  27"," 32","  43"," 60","165","523","2013","2012","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"162928","41"," 263","  24"," 29","  21"," 10"," 52","127","2013","2012","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"162928","42"," 578","   2","  3","  22"," 50","112","389","2013","2012","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"162928","43","   9","   1","  0","   0","  0","  1","  7","2013","2012","Johns Hopkins University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, less-than-annual contract"
"164924","0"," 761"," 259","265"," 194"," 10"," 33","  0","2013","2012","Boston College","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"164924","10"," 761"," 259","265"," 194"," 10"," 33","  0","2013","2012","Boston College","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"164924","20"," 460"," 245","215","   0","  0","  0","  0","2013","2012","Boston College","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"164924","30"," 130","   0","  0"," 128","  2","  0","  0","2013","2012","Boston College","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"164924","40"," 171","  14"," 50","  66","  8"," 33","  0","2013","2012","Boston College","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"164924","41"," 171","  14"," 50","  66","  8"," 33","  0","2013","2012","Boston College","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"168148","0"," 827"," 292","204"," 206"," 22","103","  0","2013","2012","Tufts University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"168148","10"," 827"," 292","204"," 206"," 22","103","  0","2013","2012","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"168148","20"," 355"," 226","129","   0","  0","  0","  0","2013","2012","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"168148","30"," 122","   8"," 17","  97","  0","  0","  0","2013","2012","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"168148","40"," 350","  58"," 58"," 109"," 22","103","  0","2013","2012","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"168148","41"," 318","  54"," 52","  91"," 21","100","  0","2013","2012","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"168148","42","  30","   4","  6","  18","  1","  1","  0","2013","2012","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"168148","43","   2","   0","  0","   0","  0","  2","  0","2013","2012","Tufts University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, less-than-annual contract"
"179867","0","1547"," 694","280"," 353"," 42","156"," 22","2013","2012","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"179867","10","1547"," 694","280"," 353"," 42","156"," 22","2013","2012","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"179867","20"," 932"," 668","264","   0","  0","  0","  0","2013","2012","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"179867","30"," 360","   1"," 16"," 343","  0","  0","  0","2013","2012","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"179867","40"," 255","  25","  0","  10"," 42","156"," 22","2013","2012","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"179867","42"," 236","  23","  0","   9"," 42","142"," 20","2013","2012","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"179867","43","  19","   2","  0","   1","  0"," 14","  2","2013","2012","Washington University in St Louis","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, less-than-annual contract"
"182670","0"," 762"," 308","192"," 171"," 40"," 45","  6","2013","2012","Dartmouth College","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"182670","10"," 762"," 308","192"," 171"," 40"," 45","  6","2013","2012","Dartmouth College","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"182670","20"," 405"," 279","126","   0","  0","  0","  0","2013","2012","Dartmouth College","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"182670","30"," 158","   1"," 35"," 120","  2","  0","  0","2013","2012","Dartmouth College","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"182670","40"," 199","  28"," 31","  51"," 38"," 45","  6","2013","2012","Dartmouth College","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"182670","41"," 199","  28"," 31","  51"," 38"," 45","  6","2013","2012","Dartmouth College","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"190150","0","3638","1249","637","1300","158","294","  0","2013","2012","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"190150","10","3638","1249","637","1300","158","294","  0","2013","2012","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"190150","20","1019"," 846","172","   0","  0","  1","  0","2013","2012","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"190150","30"," 625","  44","118"," 409"," 11"," 43","  0","2013","2012","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"190150","40","1994"," 359","347"," 891","147","250","  0","2013","2012","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"190150","41","  40","  33","  7","   0","  0","  0","  0","2013","2012","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"190150","42","1820"," 318","338"," 821","107","236","  0","2013","2012","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"190150","43"," 134","   8","  2","  70"," 40"," 14","  0","2013","2012","Columbia University in the City of New York","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, less-than-annual contract"
"190415","0","1753"," 776","433"," 288","  6","250","  0","2013","2012","Cornell University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"190415","10","1753"," 776","433"," 288","  6","250","  0","2013","2012","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"190415","20","1153"," 747","406","   0","  0","  0","  0","2013","2012","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"190415","30"," 271","   3"," 13"," 255","  0","  0","  0","2013","2012","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"190415","40"," 329","  26"," 14","  33","  6","250","  0","2013","2012","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"190415","41"," 245","  18","  8","  15","  0","204","  0","2013","2012","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"190415","42","  62","   3","  3","  16","  5"," 35","  0","2013","2012","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"190415","43","  22","   5","  3","   2","  1"," 11","  0","2013","2012","Cornell University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, less-than-annual contract"
"198419","0","3625","1092","768","1091","637"," 37","  0","2013","2012","Duke University","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"198419","10","3625","1092","768","1091","637"," 37","  0","2013","2012","Duke University","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
"198419","20","1258"," 893","365","   0","  0","  0","  0","2013","2012","Duke University","s_sis","FT Instructional Staff by rank and status","With faculty status, tenured"
"198419","30"," 485","   2","104"," 379","  0","  0","  0","2013","2012","Duke University","s_sis","FT Instructional Staff by rank and status","With faculty status, on tenure track"
"198419","40","1882"," 197","299"," 712","637"," 37","  0","2013","2012","Duke University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, total"
"198419","41","1361"," 197","299"," 712","116"," 37","  0","2013","2012","Duke University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, multi-year contract"
"198419","42"," 521","   0","  0","   0","521","  0","  0","2013","2012","Duke University","s_sis","FT Instructional Staff by rank and status","With faculty status not on tenure track/No tenure system, annual contract"
"215062","0","1991"," 862","358"," 340","149","282","  0","2013","2012","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","All full-time instructional staff"
"215062","10","1991"," 862","358"," 340","149","282","  0","2013","2012","University of Pennsylvania","s_sis","FT Instructional Staff by rank and status","With faculty status, total"
