"Unique identification number of the institution","Academic rank","Instructional staff on 9, 10, 11 or 12 month contract-total","Instructional staff on 9, 10, 11 or 12 month contract-men","Instructional staff on 9, 10, 11 or 12 month contract-women","Instructional staff on 9-month contract-total","Instructional staff on 9-month contract-men","Instructional staff on 9-month contract-women","Instructional staff on 10-month contract-total","Instructional staff on 10-month contract-men","Instructional staff on 10-month contract-women","Instructional staff on 11-month contract-total","Instructional staff on 11-month contract-men","Instructional staff on 11-month contract-women","Instructional staff on 12-month contract total","Instructional staff on 12-month contract men","Instructional staff on 12--month contract women","Number months covered for salary outlays - total","Number of months covered for salary outlays - men","Number of months covered for salary outlays - women","Salary outlays - total","Salary outlays - men","Salary outlays - women","Average weighted monthly salary  - total","Average weighted monthly salary  - men","Average weighted monthly salary  - women","FY","Fall","Institution_Name","Survey Code","Survey Title","ARANK_desc"
"131496","1"," 309"," 218"," 91"," 304","217"," 87","  0"," 0"," 0","0","0","0","  5","  1","  4"," 2796"," 1965"," 831"," 53852316"," 38661531","15190785","19260","19675","18280","2013","2012","Georgetown University","sal_ic","Instructional Staff Salary","Professor"
"131496","2"," 228"," 131"," 97"," 223","129"," 94","  0"," 0"," 0","0","0","0","  5","  2","  3"," 2067"," 1185"," 882"," 25067858"," 14668256","10399602","12128","12378","11791","2013","2012","Georgetown University","sal_ic","Instructional Staff Salary","Associate professor"
"131496","3"," 121","  61"," 60"," 113"," 58"," 55","  0"," 0"," 0","0","0","0","  8","  3","  5"," 1113","  558"," 555"," 11719895","  6314061"," 5405834","10530","11316"," 9740","2013","2012","Georgetown University","sal_ic","Instructional Staff Salary","Assistant professor"
"131496","6"," 331"," 143","188"," 241","116","125","  0"," 0"," 0","0","0","0"," 90"," 27"," 63"," 3249"," 1368","1881"," 28079064"," 12801327","15277737"," 8642"," 9358"," 8122","2013","2012","Georgetown University","sal_ic","Instructional Staff Salary","No academic rank"
"131496","7"," 989"," 553","436"," 881","520","361","  0"," 0"," 0","0","0","0","108"," 33"," 75"," 9225"," 5076","4149","118719133"," 72445175","46273958","12869","14272","11153","2013","2012","Georgetown University","sal_ic","Instructional Staff Salary","All instructional staff total"
"147767","1"," 568"," 435","133"," 568","435","133","  0"," 0"," 0","0","0","0","  0","  0","  0"," 5112"," 3915","1197","100271511"," 79182318","21089193","19615","20225","17618","2013","2012","Northwestern University","sal_ic","Instructional Staff Salary","Professor"
"147767","2"," 278"," 180"," 98"," 278","180"," 98","  0"," 0"," 0","0","0","0","  0","  0","  0"," 2502"," 1620"," 882"," 31306032"," 20831275","10474757","12512","12859","11876","2013","2012","Northwestern University","sal_ic","Instructional Staff Salary","Associate professor"
"147767","3"," 265"," 161","104"," 265","161","104","  0"," 0"," 0","0","0","0","  0","  0","  0"," 2385"," 1449"," 936"," 26075580"," 16493626"," 9581954","10933","11383","10237","2013","2012","Northwestern University","sal_ic","Instructional Staff Salary","Assistant professor"
"147767","5"," 278"," 118","160"," 278","118","160","  0"," 0"," 0","0","0","0","  0","  0","  0"," 2502"," 1062","1440"," 17654097","  8274739"," 9379358"," 7056"," 7792"," 6513","2013","2012","Northwestern University","sal_ic","Instructional Staff Salary","Lecturer"
"147767","7","1389"," 894","495","1389","894","495","  0"," 0"," 0","0","0","0","  0","  0","  0","12501"," 8046","4455","175307220","124781958","50525262","14023","15509","11341","2013","2012","Northwestern University","sal_ic","Instructional Staff Salary","All instructional staff total"
"162928","1"," 351"," 277"," 74"," 262","209"," 53"," 14","13"," 1","0","0","0"," 75"," 55"," 20"," 3398"," 2671"," 727"," 58349217"," 46749703","11599514","17172","17503","15955","2013","2012","Johns Hopkins University","sal_ic","Instructional Staff Salary","Professor"
"162928","2"," 123","  79"," 44","  80"," 58"," 22","  1"," 1"," 0","0","0","0"," 42"," 20"," 22"," 1234","  772"," 462"," 14427361","  9388772"," 5038589","11692","12162","10906","2013","2012","Johns Hopkins University","sal_ic","Instructional Staff Salary","Associate professor"
"162928","3"," 183"," 100"," 83"," 102"," 67"," 35","  0"," 0"," 0","0","0","0"," 81"," 33"," 48"," 1890","  999"," 891"," 18209422"," 10042421"," 8167001"," 9635","10052"," 9166","2013","2012","Johns Hopkins University","sal_ic","Instructional Staff Salary","Assistant professor"
