"Unique identification number of the institution","Occupation and full- and part-time status","Full-time or part-time status","Occupation category","Identifies occupations consistent with previous codes","Grand total","Grand total men","Grand total women","American Indian or Alaska Native total","American Indian or Alaska Native men","American Indian or Alaska Native women","Asian total","Asian men","Asian women","Black or African American total","Black or African American men","Black or African American women","Hispanic or Latino total","Hispanic or Latino men","Hispanic or Latino women","Native Hawaiian or Other Pacific Islander total","Native Hawaiian or Other Pacific Islander men","Native Hawaiian or Other Pacific Islander women","White total","White men","White women","Two or more races total","Two or more races men","Two or more races women","Race/ethnicity unknown total","Race/ethnicity unknown men","Race/ethnicity unknown women","Nonresident alien total","Nonresident alien men","Nonresident alien women","FY","Fall","Institution_Name","Survey Code","Survey Title","FTPT_desc","OCCUPCAT_desc","SABDTYPE_desc","STAFFCAT_desc"
"131496","1100","1","100","-2"," 5921","2803"," 3118"," 10"," 7"," 3"," 263"," 97"," 166"," 781","343"," 438"," 222","  96"," 126"," 6"," 3"," 3"," 2916","1441","1475"," 69","26","43","487","213","274","1167","577","590","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","All staff","Not applicable, current occupation does not map to occupations prior to 2012","Grand Total"
"131496","1200","1","200","-2"," 2393","1362"," 1031","  2"," 0"," 2"," 106"," 50","  56","  77"," 27","  50","  47","  24","  23"," 0"," 0"," 0"," 1355"," 815"," 540"," 18"," 8","10","230","115","115"," 558","323","235","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Instructional, research and public service staff","Not applicable, current occupation does not map to occupations prior to 2012","Instructional, research and public service"
"131496","1210","1","210","-2"," 2038","1207","  831","  2"," 0"," 2","  86"," 39","  47","  69"," 27","  42","  39","  22","  17"," 0"," 0"," 0"," 1236"," 768"," 468"," 13"," 6"," 7","193"," 99"," 94"," 400","246","154","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Instructional staff, total","Not applicable, current occupation does not map to occupations prior to 2012","Instructional staff"
"131496","1220","1","220","-2","  355"," 155","  200","  0"," 0"," 0","  20"," 11","   9","   8","  0","   8","   8","   2","   6"," 0"," 0"," 0","  119","  47","  72","  5"," 2"," 3"," 37"," 16"," 21"," 158"," 77"," 81","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Research","Not applicable, current occupation does not map to occupations prior to 2012","Research"
"131496","1250","1","250","-2","  116","  32","   84","  0"," 0"," 0","   6","  3","   3","   8","  1","   7","   1","   0","   1"," 0"," 0"," 0","   68","  19","  49","  2"," 1"," 1","  9","  2","  7","  22","  6"," 16","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Eduation Services","Not applicable, current occupation does not map to occupations prior to 2012","Librarians and Library Technicians/Archivists, Curators, and Museum Technicians/Student and Academic Affairs and Other Education Services"
"131496","1260","1","260","-2","   86","  30","   56","  0"," 0"," 0","   5","  3","   2","   2","  0","   2","   0","   0","   0"," 0"," 0"," 0","   57","  19","  38","  1"," 1"," 0","  8","  2","  6","  13","  5","  8","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Librarians, Curators, and Archivists","Not applicable, current occupation does not map to occupations prior to 2012","Librarians and Library Technicians/Archivists, Curators, and Museum Technicians"
"131496","1261","1","261","-2","    1","   0","    1","  0"," 0"," 0","   0","  0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    1","   0","   1","  0"," 0"," 0","  0","  0","  0","   0","  0","  0","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Archivists, Curators, and Museum Technicians","Not applicable, current occupation does not map to occupations prior to 2012","Archivists, Curators, and Museum Technicians"
"131496","1262","1","262","-2","   85","  30","   55","  0"," 0"," 0","   5","  3","   2","   2","  0","   2","   0","   0","   0"," 0"," 0"," 0","   56","  19","  37","  1"," 1"," 0","  8","  2","  6","  13","  5","  8","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Librarians","Not applicable, current occupation does not map to occupations prior to 2012","Librarians"
"131496","1270","1","270","-2","   30","   2","   28","  0"," 0"," 0","   1","  0","   1","   6","  1","   5","   1","   0","   1"," 0"," 0"," 0","   11","   0","  11","  1"," 0"," 1","  1","  0","  1","   9","  1","  8","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Student and Academic Affairs and Other Education Services","Not applicable, current occupation does not map to occupations prior to 2012","Student and Academic Affairs and Other Education Services"
"131496","1300","1","300","-2"," 1067"," 384","  683","  2"," 1"," 1","  47"," 13","  34"," 116"," 36","  80","  53","  14","  39"," 0"," 0"," 0","  640"," 246"," 394"," 18"," 4","14"," 71"," 29"," 42"," 120"," 41"," 79","2013","2012","Georgetown University","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Management","Not applicable, current occupation does not map to occupations prior to 2012","Management"
