"VARNUMBER","VARNAME","DATATYPE","FIELDWIDTH","FORMAT","IMPUTATIONVAR","VARTITLE","TABLE_TRIM","ACAD_YEAR","FILENAME","VARIABLE_ID","VARTITLE_USE"
10186,"ACT","A",1,"Disc",NA,"Status of institution","HD",2017,"hd2016.xlsx","ACT_10186","Status of institution"
10006,"ADDR","A",100,"Alpha",NA,"Street address or post office box","HD",2017,"hd2016.xlsx","ADDR_10006","Street address or post office box"
10058,"ADMINURL","A",200,"Alpha",NA,"Admissions office web address","HD",2017,"hd2016.xlsx","ADMINURL_10058","Admissions office web address"
10059,"APPLURL","A",200,"Alpha",NA,"Online application web address","HD",2017,"hd2016.xlsx","APPLURL_10059","Online application web address"
80081,"ATHURL","A",150,"Alpha",NA,"Student-Right-to-Know student athlete graduation rate web address","HD",2017,"hd2016.xlsx","ATHURL_80081","Student-Right-to-Know student athlete graduation rate web address"
15515,"C15BASIC","N",2,"Disc",NA,"Carnegie Classification 2015: Basic","HD",2017,"hd2016.xlsx","C15BASIC_15515","Carnegie Classification 2015: Basic"
15519,"C15ENPRF","N",2,"Disc",NA,"Carnegie Classification 2015: Enrollment Profile","HD",2017,"hd2016.xlsx","C15ENPRF_15519","Carnegie Classification 2015: Enrollment Profile"
15517,"C15IPGRD","N",2,"Disc",NA,"Carnegie Classification 2015: Graduate Instructional Program","HD",2017,"hd2016.xlsx","C15IPGRD_15517","Carnegie Classification 2015: Graduate Instructional Program"
15516,"C15IPUG","N",2,"Disc",NA,"Carnegie Classification 2015: Undergraduate Instructional Program","HD",2017,"hd2016.xlsx","C15IPUG_15516","Carnegie Classification 2015: Undergraduate Instructional Program"
15520,"C15SZSET","N",2,"Disc",NA,"Carnegie Classification 2015: Size and Setting","HD",2017,"hd2016.xlsx","C15SZSET_15520","Carnegie Classification 2015: Size and Setting"
15518,"C15UGPRF","N",2,"Disc",NA,"Carnegie Classification 2015: Undergraduate Profile","HD",2017,"hd2016.xlsx","C15UGPRF_15518","Carnegie Classification 2015: Undergraduate Profile"
10171,"CARNEGIE","N",2,"Disc",NA,"Carnegie Classification 2000","HD",2017,"hd2016.xlsx","CARNEGIE_10171","Carnegie Classification 2000"
16091,"CBSATYPE","N",2,"Disc",NA,"CBSA Type Metropolitan or Micropolitan","HD",2017,"hd2016.xlsx","CBSATYPE_16091","CBSA Type Metropolitan or Micropolitan"
16086,"CBSA","N",5,"Disc",NA,"Core Based Statistical Area (CBSA)","HD",2017,"hd2016.xlsx","CBSA_16086","Core Based Statistical Area (CBSA)"
15215,"CCBASIC","N",2,"Disc",NA,"Carnegie Classification 2005/2010: Basic","HD",2017,"hd2016.xlsx","CCBASIC_15215","Carnegie Classification 2005/2010: Basic"
10036,"CHFNM","A",50,"Alpha",NA,"Name of chief administrator","HD",2017,"hd2016.xlsx","CHFNM_10036","Name of chief administrator"
10041,"CHFTITLE","A",50,"Alpha",NA,"Title of chief administrator","HD",2017,"hd2016.xlsx","CHFTITLE_10041","Title of chief administrator"
10011,"CITY","A",30,"Alpha",NA,"City location of institution","HD",2017,"hd2016.xlsx","CITY_10011","City location of institution"
10201,"CLOSEDAT","A",10,"Alpha",NA,"Date institution closed","HD",2017,"hd2016.xlsx","CLOSEDAT_10201","Date institution closed"
16126,"CNGDSTCD","N",4,"Disc",NA,"State and 114TH Congressional District ID","HD",2017,"hd2016.xlsx","CNGDSTCD_16126","State and 114TH Congressional District ID"
10096,"CONTROL","N",2,"Disc",NA,"Control of institution","HD",2017,"hd2016.xlsx","CONTROL_10096","Control of institution"
16116,"COUNTYCD","N",5,"Disc",NA,"Fips County code","HD",2017,"hd2016.xlsx","COUNTYCD_16116","Fips County code"
16121,"COUNTYNM","A",30,"Alpha",NA,"County name","HD",2017,"hd2016.xlsx","COUNTYNM_16121","County name"
