"VARNUMBER","VARNAME","CODEVALUE","VALUELABEL","FREQUENCY","PERCENT","TABLE_TRIM","ACAD_YEAR","FILENAME","VARIABLE_ID","VALUESET_ID","VALUELABEL_USE"
10186,"ACT","A","Active - institution active",7020,93.34,"HD",2017,"hd2016.xlsx","ACT_10186","ACT_10186_A","Active - institution active"
10186,"ACT","C","Combined with other institution",19,0.25,"HD",2017,"hd2016.xlsx","ACT_10186","ACT_10186_C","Combined with other institution"
10186,"ACT","D","Delete out of business",199,2.65,"HD",2017,"hd2016.xlsx","ACT_10186","ACT_10186_D","Delete out of business"
10186,"ACT","G","Perfect child campus - data reported with main campus, but is listed on college navigator",67,0.89,"HD",2017,"hd2016.xlsx","ACT_10186","ACT_10186_G","Perfect child campus - data reported with main campus, but is listed on college navigator"
10186,"ACT","M","Closed in current year (active has data)",88,1.17,"HD",2017,"hd2016.xlsx","ACT_10186","ACT_10186_M","Closed in current year (active has data)"
10186,"ACT","N","New (active) - added during the current year",115,1.53,"HD",2017,"hd2016.xlsx","ACT_10186","ACT_10186_N","New (active) - added during the current year"
10186,"ACT","R","Restore (active) - restored to the current universe",13,0.17,"HD",2017,"hd2016.xlsx","ACT_10186","ACT_10186_R","Restore (active) - restored to the current universe"
15515,"C15BASIC","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",2981,39.64,"HD",2017,"hd2016.xlsx","C15BASIC_15515","C15BASIC_15515_-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
15515,"C15BASIC","1","Associate's Colleges: High Transfer-High Traditional",165,2.19,"HD",2017,"hd2016.xlsx","C15BASIC_15515","C15BASIC_15515_1","Associate's Colleges: High Transfer-High Traditional"
15515,"C15BASIC","10","Special Focus Two-Year: Health Professions",250,3.32,"HD",2017,"hd2016.xlsx","C15BASIC_15515","C15BASIC_15515_10","Special Focus Two-Year: Health Professions"
15515,"C15BASIC","11","Special Focus Two-Year: Technical Professions",58,0.77,"HD",2017,"hd2016.xlsx","C15BASIC_15515","C15BASIC_15515_11","Special Focus Two-Year: Technical Professions"
15515,"C15BASIC","12","Special Focus Two-Year: Arts & Design",41,0.55,"HD",2017,"hd2016.xlsx","C15BASIC_15515","C15BASIC_15515_12","Special Focus Two-Year: Arts & Design"
15515,"C15BASIC","13","Special Focus Two-Year: Other Fields",66,0.88,"HD",2017,"hd2016.xlsx","C15BASIC_15515","C15BASIC_15515_13","Special Focus Two-Year: Other Fields"
15515,"C15BASIC","14","Baccalaureate/Associate's Colleges: Associate's Dominant",146,1.94,"HD",2017,"hd2016.xlsx","C15BASIC_15515","C15BASIC_15515_14","Baccalaureate/Associate's Colleges: Associate's Dominant"
15515,"C15BASIC","15","Doctoral Universities: Highest Research Activity",115,1.53,"HD",2017,"hd2016.xlsx","C15BASIC_15515","C15BASIC_15515_15","Doctoral Universities: Highest Research Activity"
15515,"C15BASIC","16","Doctoral Universities: Higher Research Activity",107,1.42,"HD",2017,"hd2016.xlsx","C15BASIC_15515","C15BASIC_15515_16","Doctoral Universities: Higher Research Activity"
15515,"C15BASIC","17","Doctoral Universities: Moderate Research Activity",111,1.48,"HD",2017,"hd2016.xlsx","C15BASIC_15515","C15BASIC_15515_17","Doctoral Universities: Moderate Research Activity"
15515,"C15BASIC","18","Master's Colleges & Universities: Larger Programs",400,5.32,"HD",2017,"hd2016.xlsx","C15BASIC_15515","C15BASIC_15515_18","Master's Colleges & Universities: Larger Programs"
15515,"C15BASIC","19","Master's Colleges & Universities: Medium Programs",214,2.85,"HD",2017,"hd2016.xlsx","C15BASIC_15515","C15BASIC_15515_19","Master's Colleges & Universities: Medium Programs"
